Supplementary Table 1 GPS horizontal and vertical velocity data

(1996-2000) in the northeastern part of Japan.

                                               *1             *1             *1             *2              *2              *2
Station   Longitude   Latitude   Velocity(E)        Velocity(N)    Velocity(U)    Error(E)       Error(N)        Error(U)

          [°E]        [°N]       [mm/yr]            [mm/yr]        [mm/yr]        [mm/yr]        [mm/yr]         [mm/yr]

942001    141.84478   43.52882   -7.59              -1.52          1.36           2.36           4.12            17.11

940001    141.75043   45.40299   4.09               -1.99          0.60           2.13           3.34            12.12

940002    143.22418   44.43369   -2.31              0.74           1.24           2.01           3.01            12.15

940003    141.75631   44.39795   0.05               -1.17          -0.55          1.88           3.15            11.28

940004    144.67584   43.91569   -12.34             7.18           2.42           2.28           3.09            11.14

940005    144.44901   43.50786   -19.82             8.91           -2.03          2.19           2.79            10.47

940006    145.51146   43.28984   -28.49             10.58          -2.03          2.46           2.88            10.52

940007    142.48248   43.58966   -15.25             2.40           -1.58          2.25           2.94            11.30

940008    141.51037   43.85401   -3.14              -1.56          2.02           1.94           3.01            11.29

940009    145.12962   43.07008   -29.59             11.42          -1.15          2.26           2.84            10.74

940010    144.43193   42.96326   -23.93             9.05           -5.62          2.57           3.94            10.89

940011    143.45923   43.02863   -19.49             6.89           -4.17          2.46           3.73            11.30

940012    142.40197   42.98052   -18.09             2.09           -5.28          1.95           2.95            11.89

940013    141.03091   43.17786   -6.10              -2.77          2.86           1.97           2.97            10.46

940014    141.73067   42.98325   -12.50             -1.99          -2.12          2.51           3.00            10.16

940015    143.33099   42.32160   -26.30             9.09           0.08           3.34           3.10            11.04

940016    142.36460   42.35691   -16.32             1.81           -0.71          1.75           2.69            9.93

940017    139.85767   42.45074   -14.25             -1.53          4.09           2.61           2.83            10.72

940018    140.94240   42.37422   -8.14              -1.28          3.42           2.62           3.95            10.61

940019    143.15652   42.00586   -23.20             4.69           1.23           2.08           3.23            10.47

940020    139.51960   42.15355   -10.72             -0.47          -8.44          2.91           3.01            11.32

940021    140.10732   42.00808   -9.42              -1.14          2.18           2.07           2.81            10.32

940022    140.74782   41.82607   -7.20              -1.29          4.38           1.81           2.76            10.66

940023    140.04065   41.46638   -3.65              -1.15          2.25           2.00           2.76            11.71

940024    141.21327   41.30077   -8.64              -1.16          -0.44          2.16           2.68            11.32

940025    140.82959   40.84092   -5.32              -1.35          -0.16          1.91           2.64            10.39

940026    140.27298   40.77899   -3.95              -1.01          0.41           1.76           2.76            11.03

940027    141.78910   40.13345   -10.36             -1.88          2.68           2.04           2.48            10.23

940028    141.93996   39.57239   -14.12             0.15           0.31           2.07           2.51            10.81

940029    141.20392   39.11062   -18.75             6.34           -2.66          1.95           2.47            10.31

940030    139.77615   39.96790   -1.65              2.06           4.50           1.88           2.54            10.33

940031    140.04824   39.39870   -5.32              2.65           1.73           1.71           2.30            9.49

940032    139.80885   38.89460   -6.26              2.49           2.22           1.62           2.21            8.97

940033    140.31874   38.75860   -11.84             4.27           3.78           2.60           2.49            9.55

940034    139.55580   38.55554   -8.45              1.59           -2.10          1.63           2.15            9.89
940035   140.36609   38.33103   -17.27   2.40    0.97    1.75   2.17   9.70

940036   141.44116   38.44920   -29.31   5.65    -2.15   2.16   2.30   9.99

940037   140.95419   38.31749   -24.40   3.54    -5.20   1.91   2.19   10.32

940038   140.90808   37.80067   -25.22   3.23    -0.09   2.10   2.17   9.94

940039   140.32477   37.36190   -18.88   -0.64   -5.05   2.30   2.14   9.89

940040   139.79151   37.64370   -13.00   0.16    0.15    1.84   2.06   9.49

940041   140.90252   37.09071   -22.76   4.51    6.18    2.14   2.26   9.56

940049   139.50957   38.23069   -11.14   0.30    0.46    1.64   2.00   9.45

950101   142.16973   45.33583   1.62     -2.28   1.91    1.91   2.64   9.14

950102   141.03821   45.27597   5.25     -2.13   2.30    1.78   2.77   9.17

950103   142.53709   45.00240   0.14     -2.54   3.54    2.44   2.62   9.90

950104   141.74139   44.89246   2.98     -2.66   3.31    1.77   2.63   8.75

950105   142.26524   44.72850   0.48     -2.86   4.29    2.04   2.69   10.41

950106   141.33005   44.42705   1.46     -2.74   3.50    1.74   2.60   9.15

